NAME,AMOUNT__C,ASSISTANCE_TYPE__C,CATEGORY__C,DATE_PAID__C,EXPENSE_STATUS__C,EXT_HOUSEHOLD__C,VENDOR__C,EXTERNAL_ID__C
Hotel Agreement,301.99,Hotel,Other Assistance,02/03/22,Paid,a0t4x0000021ytrAAA,Intown Suites,a194x000002vjyCAAQ
Hotel Agreement,275.99,Hotel,Other Assistance,02/03/22,Paid,a0t4x0000021yicAAA,Intown Suites,a194x000002vjxsAAA
Hotel Agreement,291.99,Hotel,Other Assistance,01/06/22,Paid,a0t4x0000021uPQAAY,Intown Suites,a194x000002vjwaAAA
Hotel Agreement,350.0,Hotel,Other Assistance,01/20/22,Paid,a0t4x00000221DzAAI,Knights Inn,a194x000002vjwvAAA
Childcare,220.0,Childcare Expenses,,01/20/22,Paid,a0t4x0000021yicAAA,KinderCare,a194x000002vjwVAAQ
Hotel Agreement,286.99,Hotel,Other Assistance,01/20/22,Paid,a0t4x0000021yicAAA,Intown Suites,a194x000002vjx9AAA
Utility Payment,110.82,Utilities,Housing,01/11/22,Paid,a0r4W00000e4RWKQA2,Verizon,a1K4W00002xllFYUAY
Childcare Assistance 2/7/22-2/11/22,60.0,Childcare Expenses,Other Assistance,02/03/22,Paid,a0t4x0000022K56AAE,Rachel Jeter,a194x000002wRUgAAM
Deposit,250.0,Rental Deposit,Housing,12/17/21,Paid,a0r4W00000e4RWQQA2,,a0z4N000007zIUOQA2
Utilities,250.0,Utilities,Housing,07/08/21,Paid,a1O4x000003TX2PEAW,Pleasant View Utility District,a1e4x000000qgywAAA
Rent Assistance,300.0,Rent,Housing,06/30/21,Paid,a1O4x000003TNKpEAO,,a1e4x000000qgemAAA
Administrative fee,0.0,,Housing,08/12/21,Paid,a1O4x000003TNKgEAO,Legacy Village Apartments,a1e4x000000qhSLAAY
Computer,179.0,Other,Employment,04/08/22,Paid,a0r4W00000e4RWIQA2,Wal-Mart,a1K4W00002xlutRUAQ
Utilities,250.0,Utilities,Housing,08/03/21,Paid,a1O4x000003Tt2yEAC,Nashville Electric Service (NES),a1e4x000000qhEcAAI
September Rent,950.0,Rent,Housing,,Planned,a1O4x000003TX2PEAW,John West (private landlord),a1e4x000000qhi0AAA
Childcare for 3 weeks,558.0,Childcare Expenses,Employment,03/15/21,Paid,a1O4x000003TNKkEAO,,a0z4N000007oSz4QAE
Hotel Room Payment,777.56,Hotel,Housing,12/17/21,Paid,a1O4x0000056deHEAQ,Springfield Inn,a1e4x000000qrhbAAA
Utilities,150.0,Utility Deposit,Housing,09/29/21,Paid,a1O4x000003UJxlEAG,"CDE Light Band-Clarksville, TN",a1e4x000000qiMrAAI
July Rental Payment,373.0,Rent,Housing,09/07/21,Paid,a1O4x000003TNKnEAO,Epic Investments,a1e4x000000qhmRAAQ
April Rent,1245.0,Rent,Housing,04/04/22,Paid,a1O4x000003TNKeEAO,Legacy Village Apartments,a1e4x000000qv8GAAQ
Water Utility Deposit,90.0,Utility Deposit,Housing,04/21/21,Paid,a1O4x000003TNKoEAO,,a0z4N000007oTQbQAM
Hotel Room Payment,700.0,Hotel,Housing,03/03/21,Paid,a1O4x000003TNKqEAO,,a0z4N000007oSoRQAU
App fee,35.0,Other,Housing,07/20/21,Paid,a1O4x000003Tt2yEAC,River Chase,a0z4N000007oV7eQAE
DACA Fee,495.0,Other,Employment,02/23/21,Paid,a1O4x000003TNKmEAO,,a0z4N000007oT01QAE
Graceworks Ministries 4-5-22,200.0,Furniture,Other Assistance,,Paid,,,a1K4W00002xluXSUAY
Security deposit for rent,630.0,Rental Deposit,Housing,04/28/21,Paid,a1O4x000003TNKjEAO,,a0z4N000007oTtkQAE
Hotel Stay,622.44,Hotel,Housing,12/03/21,Planned,a1O4x000003UMWtEAO,Springfield Inn,a1e4x000000qr6wAAA
Hotel Stay,350.07,Hotel,Housing,04/07/22,Paid,a1O4x000006X7RDEA0,Springfield Inn,a1e4x000000qvFvAAI
Hotel Stay,350.07,Hotel,Housing,04/07/22,Paid,a1O4x000006OguHEAS,Springfield Inn,a1e4x000000qvGAAAY
Rent,950.0,Rent,Housing,07/08/21,Paid,a1O4x000003TX2PEAW,Jerri West/private landlord,a1e4x000000qgymAAA
EMergency Shelter,308.0,Hotel,Housing,02/19/22,Paid,,Hotel Avery,a1K4W00002xluscUAA
Rent deposit,500.0,Rental Deposit,Housing,08/03/21,Paid,a1O4x000003Tt2yEAC,RiverChase Apartments,a1e4x000000qhESAAY
First months rent/June,799.0,Rent,Housing,06/02/21,Paid,a1O4x000003TX2MEAW,,a0z4N000007oUKXQA2
2 Queen Mattress Sets,540.0,Mattress,Housing,04/08/21,Paid,a1O4x000003TNKpEAO,,a0z4N000007oTJAQA2
September Rent,1338.0,Rent,Housing,08/25/21,Paid,a1O4x000003Tv8GEAS,RiverChase,a1e4x000000qhhqAAA
Rent Assistance,800.0,Rent,Housing,01/31/22,Planned,a1O4x000005vPRqEAM,Impeckable Properties,a1e4x000000qt7dAAA
late utility bill,107.51,Utilities,Other Assistance,12/08/21,Paid,a0t5e000001k9fTAAQ,,a195e00000BCYbWAAX
Metro Water,38.11,Utilities,Housing,01/29/21,Paid,a0t5e0000010OSGAA2,,a195e000002J77XAAS
Birth certificate - cimorah,47.0,Birth Certificate,Other Assistance,04/17/19,Paid,a0t4x000001V41OAAS,,a0z4N000004sV9HQAU
Metro Water Services,45.83,Utilities,Housing,11/23/20,Paid,a0t5e0000010ORjAAM,,a195e000002J77KAAS
Prorate,766.0,Rent,Housing,02/07/22,Paid,0014N00002qBL9uQAG,Summerwind,a0z4N000007zJMhQAM
FB tuition assistance,45.0,Childcare Expenses,Other Assistance,01/23/19,Paid,a0t4x000001V41PAAS,,a0z610000044V71AAE
MTEMC Acc.#0128050004 Electric Bill (for Feb.2021),200.0,Utilities,Housing,03/11/21,Paid,a0t4x0000022SdlAAE,,a0z4N000007oSrbQAE
December 2018 rent,0.0,Rent,Housing,12/01/18,Paid,0016100001ZLTvhAAH,McClain Properties,a0z610000044QX8AAM
Uber to work,16.86,Other,Employment,04/09/21,Paid,a0r4W00000e4RWUQA2,,a0z4N000007oTKeQAM
Rent for (July 2021),1150.0,Rent,Housing,06/17/21,Paid,a0t4x0000021uPCAAY,Old Town Village ll,a194x0000029Bd1AAE
Clothes for work/ warm clothes for children,325.86,Other,Employment,12/21/21,Paid,a0r4W00000e4RWWQA2,,a0z4N000007zIZaQAM
"Purchased Textbooks for Spring, 2021",536.75,Books/School Supplies,,01/12/21,Paid,a0t4x000001V40oAAC,,a0z4N000007Ff1NQAS
Arrears for Shelbyville Housing Authority,933.06,Rental Arrears,Housing,11/18/21,Paid,a0t4x0000021ytrAAA,Rapid Recovery Debt Collector,a194x000002utkiAAA
ProRated Rent April,166.67,Rent,Housing,04/22/21,Paid,0014N00002e4J4fQAE,Townhomes at Montague,a0z4N000007oTSYQA2
gas,50.0,Gas Card,Employment,11/08/21,Paid,a0r4W00000e4RWIQA2,,a0z4N000007zI4OQAU
Rental Assistance,686.95,Rent,Housing,09/13/21,Paid,0014N000033wFkDQAU,,a0z4N000007zHThQAM
Court fee,51.85,Other,Employment,01/05/22,Paid,a0r4W00000e4RWRQA2,,a0z4N000007zIrBQAU
April Rental Asst,821.0,Rent,Housing,04/02/20,Paid,a0t4x000001V416AAC,,a0z4N000006eooxQAA
60,60.0,Other,Employment,03/01/21,Paid,a0r4W00000e4RWYQA2,,a0z4N000007oSq8QAE
Transportation/legal,87.06,Other,Employment,11/12/21,Paid,a0r4W00000e4RWeQAM,,a0z4N000007zHz4QAE
FB tuition assistance,272.0,Childcare Expenses,Other Assistance,02/27/19,Paid,a0t4x000001V40iAAC,,a0z610000044hTlAAI
MTEMC Bill scheduled for disconnect,93.14,Utility Arrears,Housing,01/28/21,Paid,a0r4W00000e4RWXQA2,,a0z4N000007FfYBQA0
Rent,500.0,Rent,Housing,08/13/21,Paid,a0r4W00000e4RWTQA2,,a0z4N000007zGlTQAU
EMergency Shelter,394.7,Rent,Housing,12/13/21,Paid,a0r4W00000e4RWQQA2,,a0z4N000007zIrzQAE
MTEMC (electric bill) Ck#10843,202.02,Utilities,Housing,03/11/21,Paid,a0t4x0000022ScnAAE,,a0z4N000007oSzwQAE
MTE (electric bill) #012805004 (CK#10829)DR,262.1,Utility Arrears,Housing,03/11/21,Paid,a0t4x0000022SdlAAE,,a0z4N000007oSxHQAU
May 2022 Rent,575.0,Rent,Housing,,Planned,0014N00002qBL9uQAG,Summerwind,a0z4N000007zJOfQAM
Childcare Assistance 12/13-12/17,110.0,Childcare Expenses,Other Assistance,12/09/21,Paid,a0t4x0000021uPGAAY,Rachel Jeter,a194x000002vivvAAA
MTEMCAcc. #2902182239 CK#10911,200.0,Utilities,Housing,05/10/21,Paid,a0t4x0000021uPOAAY,,a0z4N000007oU3DQAU
Hotel,100.0,Hotel,Other Assistance,10/14/21,Paid,a0t4x0000021ylvAAA,Rodeway Inn,a194x000002vOKKAA2
School Fee Reimbursement,50.0,,,,Planned,a353t000000KgbDAAS,,a194x000001t1rtAAA
Prorated Rent,128.0,Rent,Housing,11/15/21,Paid,a0t4x0000021uPUAAY,Brownstone apartments,a194x000002ur89AAA
Rent for (October 2021),875.0,Rent,Housing,09/30/21,Paid,a0t4x0000021uPKAAY,Cason Ridge Apts,a194x000002A9uoAAC
Childcare,230.0,Childcare Expenses,,12/09/21,Paid,a0t4x0000021uPIAAY,Kindercare,a194x000002vOMoAAM
Jeraeya Spence Rent,333.0,Rental Arrears,Housing,,Planned,,,a1H4x000002xCt1EAE
Rent for February 2022,500.0,Rent,Housing,01/27/22,Paid,a0t4x0000021uPAAAY,Saddlebrook Apartments,a194x000002vixYAAQ
Childcare Assistance 1/31-2/4,100.0,Childcare Expenses,Other Assistance,01/27/22,Paid,a0t4x0000021uPGAAY,Rachel Jeter,a194x000002vixOAAQ
Amit Expense,200.0,,Employment,06/09/22,Paid,a098M000000IoFjQAK,,a1H8M00000098D1UAI
MTE,150.0,Utilities,Housing,11/16/21,Paid,a0r4W00000e4RWTQA2,,a0z4N000007zI4TQAU
FB tuition assistance,186.0,Childcare Expenses,Other Assistance,06/18/19,Paid,a0t4x000001V40hAAC,,a0z4N000004sVypQAE
Childcare,230.0,Childcare Expenses,,10/05/21,Paid,a0t4x0000021uPIAAY,Kindercare,a194x000002vOMzAAM
MTEMC,23.05,Utilities,Other Assistance,12/16/21,Paid,a0t4x0000021uPCAAY,Middle Tennessee Electric,a194x000002vivgAAA
Community Helpers of Rutherford County TN  3-3-22,200.0,Furniture,Other Assistance,,Paid,,,a1K4W00002xlna3UAA
Rent for January 2022,736.0,Rent,Housing,12/21/21,Paid,a0t4x0000021xirAAA,Cedar Ridge Town Homes,a194x000002vireAAA
Childcare Assistance 12/20-12/24,75.0,Childcare Expenses,Other Assistance,12/16/21,Paid,a0t4x0000022K56AAE,Rachel Jeter,a194x000002vivmAAA
Childcare,116.0,Childcare Expenses,Employment,01/24/22,Paid,,White Bluff Imagination Station,a1K4W00002xlkd7UAA
Kroger Gift Card,25.0,,Non-Assistance (not client expenses),03/04/21,Paid,a0t4x000001V40zAAC,,a0z4N000007oTqaQAE
Rent for December 2021,943.0,Rent,Housing,11/23/21,Paid,a0t4x0000021xirAAA,Cedar Ridge Townhomes,a194x000002vibMAAQ
Childcare Assistance 1/24-1/28,75.0,Childcare Expenses,Other Assistance,01/20/22,Paid,a0t4x0000022K56AAE,Rachel Jeter,a194x000002vixEAAQ
Rent for November 2021,450.0,Rent,Housing,10/28/21,Paid,a0t4x0000021uPOAAY,Old Town Village ll,a194x000002vib7AAA
NES,179.27,Utility Arrears,Housing,06/15/20,Paid,a0t4x000001V414AAC,,a0z4N000006iGfcQAE
Past due electric,987.21,Utility Arrears,Housing,10/20/21,Paid,a0r4W00000e4RWWQA2,,a0z4N000007zHYYQA2
Rental Assistance,1453.69,Rent,Housing,09/13/21,Paid,0014N000033wJflQAE,,a0z4N000007zHTmQAM
EMergency Shelter,540.26,Rent,Housing,01/04/22,Paid,a0r4W00000e4RWSQA2,,a0z4N000007zIenQAE
"Partial Tuition Payment, Spring 2021",900.0,Tuition,,01/15/21,Paid,a0t4x000001V40nAAC,,a0z4N000007FfP0QAK
FB tuition assistance,27.0,Childcare Expenses,Other Assistance,02/27/19,Paid,a0t4x000001V40iAAC,,a0z610000044jSbAAI
Hotel Agreement,275.0,Hotel,Other Assistance,03/17/22,Paid,a0t4x00000221DzAAI,Knights Inn,a194x000002wAVbAAM
Utilities,296.57,Utilities,Housing,04/22/20,Paid,a0t4x000001V40nAAC,,a0z4N000006fIomQAE
Utility Bill,287.01,Other,Other Assistance,08/28/19,Paid,a0t4x000001V41PAAS,,a0z4N000005MEc5QAG
Gas Expense,92.91,Gas Card,Other Assistance,03/15/22,Paid,a0r4W00000e4RWSQA2,Mapco,a1K4W00002xlogwUAA
"Driver's Ed, Private Lesson 1",145.0,Tuition,,08/10/20,Paid,a0t4x000001V41cAAC,,a0z4N000007FcbGQAS
Walmart,25.0,Gift Card,Other Assistance,07/28/20,Paid,a0t4x000001V41OAAS,,a0z4N000007FdBtQAK
Education Expense 12/30/2019,140.0,Childcare Expenses,Other Assistance,12/09/19,Paid,a0t4x000001V40eAAC,,a0z4N000005O8eLQAS
In Kind Items given - Mattress,1030.0,Mattress,Other Assistance,05/20/19,Paid,a0t4x000001V41OAAS,,a0z4N000006fIudQAE
July 2019 rent,625.0,Rent,Housing,06/25/19,Paid,a0t4x000001V41OAAS,,a0z4N000004sW1yQAE
Rental Application Deposit,65.0,,Housing,03/27/20,Paid,a0t4x000001V414AAC,,a0z4N000006fDvoQAE
NES Bill,227.25,Utility Arrears,Housing,04/05/21,Paid,a0t4x000001V414AAC,,a0z4N000007oTuZQAU
Days Inn Hotel Expense,291.0,Hotel,Housing,03/16/22,Paid,a0r4W00000e4RWSQA2,Days Inn,a1K4W00002xlohpUAA
Groceries,105.04,Groceries/Food Box,Other Assistance,03/23/22,Planned,a1O4x000005vPSREA2,Walmart,a1e4x000000quunAAA
Madison Suburban Utility District payment for Water and Sewer.,44.93,Utility Arrears,Housing,06/12/20,Paid,a0t4x000001V40yAAC,,a0z4N000006iGlBQAU
Benefits Extension,143.0,Childcare Expenses,Other Assistance,09/06/19,Paid,a0t4x000001V41PAAS,,a0z4N000005MPahQAG
Car Payment,460.0,Transportation,Other Assistance,07/19/18,Paid,a0t4x000001V40nAAC,,a0z6100000448Q3AAI
Groceries,128.91,Groceries/Food Box,Other Assistance,03/23/22,Paid,a1O4x000006FxlSEAS,Walmart,a1e4x000000quxMAAQ
Direct Assistance Utilities,216.68,Utilities,Housing,02/18/21,Paid,a0t4x000001V417AAC,,a0z4N000007oSz8QAE
NES,163.45,Utilities,Housing,05/02/19,Paid,a0t4x000001V41PAAS,,a0z4N000004sViQQAU
Educational: Pay Off Student Debt,914.0,Other,,12/10/21,Paid,a0t4x000001Vv2lAAC,,a194x000001syBsAAI
August 2019 rent,425.0,Rent,Housing,07/30/19,Paid,a0t4x000001V41OAAS,,a0z4N000004sW23QAE
ELECTRIC bILL,150.0,Utilities,Housing,08/31/21,Paid,a0r4W00000e4RWTQA2,,a0z4N000007zGlUQAU
FB tuition assistance,70.0,Childcare Expenses,Other Assistance,01/23/19,Paid,a0t4x000001V41PAAS,,a0z610000044f3qAAA
Piedmont Gas arrears,555.94,Utility Arrears,Housing,05/20/19,Paid,a0t4x000001V41OAAS,,a0z4N000004sWOAQA2
Angela Derrick,439.0,Rental Arrears,Housing,,Planned,a094x000005aJI5AAM,,a1H4x000002xCuiEAE
Hotel 3.10-3.23.21,602.0,Hotel,Other Assistance,04/06/21,Paid,0014N00002e4J4fQAE,Hometowne Studios,a0z4N000007oTI7QAM
court costs,181.5,Drivers License/ID Expense,Other Assistance,01/12/22,Paid,a0r4W00000e4RWRQA2,,a0z4N000007zIwJQAU
Gas for work/ medical trip,39.19,Gas Card,Other Assistance,12/23/21,Paid,a0r4W00000e4RWTQA2,,a0z4N000007zIZnQAM
Employment - gift card for required work clothing,104.94,Other,Employment,02/03/22,Paid,a0t4x000001VbJLAA0,,a194x000001t20tAAA
Phone Service,125.98,Other,Other Assistance,12/23/21,Paid,a0r4W00000e4RWTQA2,,a0z4N000007zIZxQAM
Enrollment fees,25.0,Other,,02/12/18,Paid,a0t4x000001V40iAAC,,a0z610000044J5XAAU
Rental arrears/ Eviction prevention,1148.59,Rental Arrears,Housing,02/12/21,Paid,a0r4W00000e4RWeQAM,,a0z4N000007FfjQQAS
Tution,2000.0,Tuition,,,Planned,,,a194x000001t5TxAAI
Childcare,298.0,Childcare Expenses,Employment,07/23/21,Paid,a0r4W00000e4RWbQAM,,a0z4N000007oV6CQAU
Deposit for Journey Home Housing,500.0,Rental Deposit,Housing,03/16/22,Paid,a134p000008BuOWAA0,Journey Home,a194x000002wA3MAAU
Childcare copay,112.0,Childcare Expenses,Employment,02/03/22,Paid,,White Bluff Imagination Station,a1K4W00002xllFEUAY
Utility Payment,67.32,Utilities,Housing,01/18/22,Paid,a0r4W00000e4RWKQA2,Spring Hill Utilities,a1K4W00002xllFiUAI
Hotel Agreement,300.0,Hotel,Other Assistance,01/20/22,Paid,a0t4x0000022ImwAAE,Knights Inn,a194x000002vjwwAAA
July 2021 Rent,800.0,Rent,Housing,06/29/21,Paid,0014N00002e4J4fQAE,Townhomes at Montague,a0z4N000007oTT7QAM
Hotel Agreement,291.99,Hotel,Other Assistance,01/20/22,Paid,a0t4x0000021ytrAAA,Intown Suites,a194x000002vjwuAAA
Childcare,220.0,Childcare Expenses,,01/20/22,Paid,a0t4x0000021uPIAAY,KinderCare,a194x000002vjwQAAQ
Electric deposit,195.0,Utility Deposit,Housing,07/01/21,Paid,a0t4x0000021uPCAAY,Middle Tennessee Electric,a194x0000029JWkAAM
FB tuition assistance,93.0,Childcare Expenses,Other Assistance,09/12/18,Paid,a0t4x000001V41PAAS,,a0z6100000447nGAAQ
September Rent,1288.0,Rent,Housing,09/03/20,Paid,a0t4x000001V415AAC,,a0z4N000007Fd9XQAS
FB tuition assistance,45.0,Childcare Expenses,Other Assistance,02/27/19,Paid,a0t4x000001V41PAAS,,a0z61000003iIC1AAM
Car Repair,200.0,Car Repair,Other Assistance,08/13/20,Paid,a0t4x000001V414AAC,,a0z4N000007Fd6BQAS
August 2021 Rent,600.0,Rent,Housing,07/27/21,Paid,0014N00002e4J4fQAE,Townhomes at Montague,a0z4N000007oTT8QAM
Childcare,50.0,Childcare Expenses,Employment,06/04/21,Paid,a0r4W00000e4RWbQAM,,a0z4N000007oUMdQAM
Childcare Assistance 3/28/22-4/1/22,100.0,Childcare Expenses,Other Assistance,03/24/22,Paid,a0t4x0000021uPGAAY,Rachel Jeter,a194x000002wRTsAAM
Soccer Registration,60.0,Other,Other Assistance,03/03/21,Paid,a0r4W00000e4RWVQA2,,a0z4N000007oSq3QAE
Hotel Agreement,280.99,Hotel,Other Assistance,02/17/22,Paid,a0t4x00000221DzAAI,Knights Inn,a194x000002vtHVAAY
Gas Card,600.0,Gas Card,Employment,03/25/22,Paid,a1O4x000003TNKpEAO,Walmart,a1e4x000000quyUAAQ
Childcare Assistance 3/21/22-3/25/22,75.0,Childcare Expenses,Other Assistance,03/17/22,Paid,a0t4x0000022K56AAE,Rachel Jeter,a194x000002wRUmAAM
FB tuition assistance,93.0,Childcare Expenses,Other Assistance,09/05/18,Paid,a0t4x000001V41PAAS,,a0z6100000447nBAAQ
Datta Expense,500.0,,Employment,06/10/22,Paid,a098M000000IoDXQA0,,a1H8M0000009881UAA
Hotel Bill,271.99,Hotel,Other Assistance,09/09/21,Paid,a0t4x0000021ytrAAA,Intown Suites,a194x0000029rVYAAY
Childcare,230.0,Childcare Expenses,,12/21/21,Paid,a0t4x0000021uPIAAY,Kindercare,a194x000002vOMtAAM
Rent,1295.0,Rent,Housing,12/02/21,Paid,a0t4x0000021uPDAAY,Middle Tennessee Reality Group,a194x000002vOkgAAE
June Rent (ck.#10946),1095.0,Rent,Housing,06/03/21,Paid,a0t4x0000021uPWAAY,,a0z4N000007oULzQAM
Apartment,980.0,Rent,Housing,08/26/21,Paid,a0t4x0000021uPRAAY,Rutherford Park Apartments,a194x0000029j0wAAA
Bunk bed (Amazon order #112-1538086-2541024),177.25,Furniture,Housing,06/10/21,Paid,a0t4x0000021uPWAAY,,a0z4N000007oUWTQA2
Childcare,220.0,Childcare Expenses,,11/04/21,Paid,a0t4x0000021yicAAA,Kindercare,a194x000002vOM5AAM
CPF Visa/MC,25.0,,Other Assistance,06/29/20,Paid,SHFS-TFC0000522097,,a0z4N000006iHpCQAU
Rent for (July 2021) CK#11005,800.0,Rent,Housing,07/01/21,Paid,a0t4x0000021uPNAAY,David Cox,a194x0000029BcrAAE
Savings Match (Savings Accout),1000.0,Other,Other Assistance,10/28/19,Paid,a0t4x000001V41dAAC,,a0z4N000005NJpaQAG
App Fee-Terrace Park Town Homes,35.0,,Housing,06/21/21,Paid,a0t4x0000021uPMAAY,enfield mgt,a194x0000029haXAAQ
Hotel Stay 08/5-08/12,511.0,Hotel,Housing,08/04/21,Paid,a0t4x0000021uP9AAI,Uptown Suites,a194x0000029i2HAAQ
Rent (For April. 2021) CK#10861,300.0,Rent,Housing,03/29/21,Paid,a0t4x0000021uPOAAY,,a0z4N000007oT90QAE
Pans,69.97,Furniture,Housing,12/21/21,Paid,a1O4x000003UJxlEAG,Walmart,a1e4x000000qroXAAQ
Appliance Purchase,582.98,Furniture,Other Assistance,01/18/22,Paid,a1O4x000003UJcvEAG,Lowe's,a1e4x000000qt9eAAA
Direct Assistance,710.0,Rent,Housing,12/16/20,Paid,a0t5e0000010OS2AAM,,a195e000002J77eAAC
Springfield Inn 4 week stay,1400.0,Rent,Housing,03/03/21,Paid,a1O4x000003TNKjEAO,,a0z4N000007oT02QAE
2021-08-03 Photo ID DMV,12.0,Drivers License/ID Expense,Housing,08/03/21,Paid,a0t4x0000021uPQAAY,State Department of Motor Vehicles,a194x0000029i2MAAQ
Hotel,290.0,Hotel,Other Assistance,09/15/21,Paid,a0t4x0000021ylvAAA,RodeWay Inn,a194x000002uXiqAAE
November Rent,799.0,Rent,Housing,11/02/21,Paid,a1O4x000003TX2MEAW,Millerstown Apartments,a1e4x000000qr8nAAA
Hotel,433.49,Hotel,Other Assistance,10/12/21,Paid,a0t4x0000021yicAAA,Intown suites,a194x000002vOMUAA2
emergency rental assistance,1404.27,Rent,Housing,,Planned,a094x00000KaTPjAAN,,a1H4x000003z9hxEAA
"Oct, Nov, Dec 2021 rent + late fee",2900.0,Rent,Housing,12/07/21,Paid,0014N00002e4J4fQAE,Townhomes at Montague,a0z4N000007zIGaQAM
Hotel Stay,350.07,Hotel,Housing,04/07/22,Paid,a1O4x0000065w9mEAA,Springfield Inn,a1e4x000000qvFlAAI
Education Expense,25.0,Childcare Expenses,Other Assistance,,Planned,a0t4x000001V40jAAC,,a0z4N000005O8cYQAS
Hotel Bill,349.54,Hotel,Other Assistance,09/15/21,Paid,a0t4x0000021uPQAAY,Intown Suites,a194x000002AArVAAW
Rental Deposit,300.0,Rental Deposit,Housing,08/29/18,Paid,a0t4x000001V40jAAC,,a0z610000044QVlAAM
Traffic Class (for DL Reinstatement),70.0,Other,Employment,03/01/21,Paid,a0t4x000001V410AAC,,a0z4N000007FfztQAC
Rental assistance,950.0,Rent,Housing,08/14/20,Paid,a0t5e0000010OS0AAM,,a195e000002J77mAAC
Childcare Assistance 1/11-1/14,75.0,Childcare Expenses,Other Assistance,01/13/22,Paid,a0t4x0000022K56AAE,Debbie's Daycare,a194x000002viwzAAA
Madison Suburban Utility District,33.73,Utilities,Housing,11/23/20,Paid,a0t5e0000010ORjAAM,,a195e000002J77LAAS
Childcare Assistance 4/4/22-4/8/22,75.0,Childcare Expenses,Other Assistance,03/31/22,Paid,a0t4x0000022K56AAE,Rachel Jeter,a194x000002wReXAAU
Utlities,150.06,Utilities,Housing,05/24/21,Paid,a0t4x000001V40hAAC,,a0z4N000007oUAoQAM
Hotel,300.0,Hotel,Other Assistance,11/23/21,Paid,a0t4x0000022ImwAAE,Knights Inn,a194x000002vOkEAAU
Rental Agreement,369.0,Rent,Housing,03/24/22,Paid,a0t4x0000021uPQAAY,Chariot Point Apts.,a194x000002wGvSAAU
Green Meadows First Month's Rent 11-01-21,613.0,Rent,Housing,11/01/21,Paid,a0t4x0000021ylvAAA,Green Meadows Apartments,a194x000002ue92AAA
Legal fees for license,195.0,Drivers License/ID Expense,Employment,03/01/22,Paid,,State of TN,a1K4W00002xluswUAA
NES Arrears,359.6,Utility Arrears,Housing,08/11/20,Paid,a0t4x000001V41SAAS,,a0z4N000007FcwxQAC
Intown Suites,369.54,Hotel,Other Assistance,09/02/21,Paid,a0t4x0000021uPQAAY,Intown Suites,a194x0000029mf4AAA
Hotel,300.0,Hotel,Other Assistance,12/02/21,Paid,a0t4x0000022ImwAAE,Knights Inn,a194x000002vOkHAAU
deposit/admin fee,250.0,Rental Deposit,Housing,05/17/19,Paid,a0t4x000001V41OAAS,,a0z4N000004sVz9QAE
Furniture,380.5,Furniture,Other Assistance,07/07/21,Paid,a0t4x0000021uPCAAY,Habitat for Humanity,a194x0000029CsuAAE
Childcare assistance 12/6-12/10,75.0,Childcare Expenses,Other Assistance,12/02/21,Paid,a0t4x0000022K56AAE,Rachel Jeter,a194x000002vivqAAA
"Tuition Payment, Corner to Corner",125.0,Tuition,,07/30/21,Paid,a0t4x000001V41bAAC,,a0z4N000007zGTTQA2
Monthly Rental Assistance,895.0,Rent,Housing,08/03/21,Paid,a0t4x000001qjg4AAA,Synergy Real Estate Group,a194x000001YBClAAO
Gas Card,50.0,Gas Card,Other Assistance,03/24/22,Paid,a0r4W00000e4RWRQA2,Shell Gas,a1K4W00002xlutlUAA
Helped Client pay for her past due electric bill,674.79,,Housing,04/01/21,Paid,a0t4x000001qhZHAAY,,a0z4N000007oTDWQA2
August Rent reissue,600.0,Rent,Housing,09/15/21,Paid,0014N00002e4J4fQAE,Townhomes of Montague,a0z4N000007zGzhQAE
birth certificate,58.5,Birth Certificate,Other Assistance,09/13/19,Paid,a0t4x000001V41OAAS,,a0z4N000005NlwQQAS
Childcare (Phoenix Hoehn) well check,130.0,Childcare Expenses,Other Assistance,02/08/22,Paid,a0r4W00000e4RWSQA2,Tennessee Pediatrics,a1K4W00002xlnMrUAI
Hotel Agreement,250.0,Hotel,Other Assistance,02/24/22,Paid,a0t4x0000021yicAAA,Intown Suites,a194x000002vzmPAAQ
ChildCare,50.0,Childcare Expenses,Other Assistance,03/16/22,Paid,a0r4W00000e4RWIQA2,Boys and Girls Club of Mid Tn,a1K4W00002xloP4UAI
Direct Assistance,869.0,Rent,Housing,11/18/20,Paid,a0t5e0000010ORpAAM,,a195e000002J77QAAS
Rent (for April 2022),991.0,Rent,Housing,03/24/22,Paid,a0t4x0000021zmDAAQ,Murfreesboro Housing Authority,a194x000002wRUbAAM
Security deposit,500.0,Rental Deposit,Housing,06/02/21,Paid,a1O4x000003TX2MEAW,,a0z4N000007oUKSQA2
Intown Suites Bill,433.49,Hotel,Other Assistance,08/26/21,Paid,a0t4x0000021yicAAA,Intown Suites,a194x0000029j16AAA
Security Deposit,394.0,Rent,Housing,06/24/21,Paid,a1O4x000003TNKeEAO,,a0z4N000007oUj1QAE
Childcare Assistance 2/28/22-3/4/22,150.0,Childcare Expenses,Other Assistance,02/24/22,Paid,a0t4x0000022K56AAE,Rachel Jeter,a194x000002wRV0AAM
Application fee,50.0,,Housing,09/29/21,Paid,a1O4x000003UJxlEAG,Eagles Crest at Jack Miller,a1e4x000000qiNGAAY
Car impound,325.2,Car Repair,Employment,01/13/22,Paid,,Jones Bros,a1K4W00002xllFxUAI
